,Similarity Norming Category,distance_bert_large_hf_layer_1,distance_bert_large_hf_layer_10,distance_bert_large_hf_layer_11,distance_bert_large_hf_layer_12,distance_bert_large_hf_layer_2,distance_bert_large_hf_layer_3,distance_bert_large_hf_layer_4,distance_bert_large_hf_layer_5,distance_bert_large_hf_layer_6,distance_bert_large_hf_layer_7,distance_bert_large_hf_layer_8,distance_bert_large_hf_layer_9,string,word
0,H,0.8991311714053154,0.7236921489238739,0.633969634771347,0.6131749153137207,0.9097329303622246,0.9189938306808472,0.915123350918293,0.8563801795244217,0.8320588767528534,0.8223445564508438,0.7928544580936432,0.7892534881830215,amazon,amazon
1,H,0.8328783065080643,0.5871152877807617,0.5060887932777405,0.5790764689445496,0.8094626516103745,0.834399864077568,0.8323257118463516,0.7781021296977997,0.7918191701173782,0.7490545213222504,0.7636708766222,0.6944397389888763,arms,arms
2,H,0.8566677868366241,0.5233435034751892,0.4149967432022095,0.46378594636917114,0.8341844528913498,0.8139154016971588,0.7740779519081116,0.7050839960575104,0.6885268092155457,0.7200990915298462,0.6944349706172943,0.6321912407875061,band,band
3,H,0.8832213282585144,0.4982447624206543,0.40528208017349243,0.4744332432746887,0.8367542028427124,0.8221597373485565,0.8241645395755768,0.7544097602367401,0.7297205030918121,0.7492556571960449,0.7402400970458984,0.6613252758979797,bark,bark
4,H,0.8998119905591011,0.5296879708766937,0.41534072160720825,0.48355555534362793,0.8748774528503418,0.870922788977623,0.826500803232193,0.7639715075492859,0.7347124516963959,0.6905740797519684,0.6740167140960693,0.6156925857067108,bass,bass
5,H,0.8945267647504807,0.6157205998897552,0.5241057276725769,0.5136374831199646,0.8873584792017937,0.8611809015274048,0.8372274935245514,0.7691899687051773,0.7653942704200745,0.7785476744174957,0.7654607445001602,0.71780726313591,bat,bat
6,H,0.9504136219620705,0.7455480098724365,0.6456740498542786,0.6701108515262604,0.9620022177696228,0.9084294140338898,0.8851115703582764,0.8399671912193298,0.8440419584512711,0.8174779564142227,0.8099940270185471,0.7613125294446945,batter,batter
7,H,0.8886473774909973,0.5449812412261963,0.4458273649215698,0.47809433937072754,0.8216813653707504,0.7561113089323044,0.7122602164745331,0.6543551385402679,0.6324193179607391,0.6683215796947479,0.6843054592609406,0.6393846571445465,bills,bill
8,H,0.9285377413034439,0.7603502422571182,0.6423901617527008,0.7029343843460083,0.8862331360578537,0.8657423257827759,0.8460686653852463,0.7810361534357071,0.8144701570272446,0.8239056468009949,0.8177956938743591,0.8097192049026489,bluff,bluff
9,H,0.9077666401863098,0.5954989492893219,0.49821406602859497,0.4791409373283386,0.8619586378335953,0.8353915810585022,0.7978498935699463,0.7489491999149323,0.7755696624517441,0.7317453920841217,0.7481416463851929,0.6757519245147705,bond,bond
10,H,0.9206307306885719,0.4727630615234375,0.3512895703315735,0.37949538230895996,0.8249268978834152,0.7966322898864746,0.7769483178853989,0.707240879535675,0.7049967348575592,0.6673673391342163,0.6365980803966522,0.5643805861473083,bow,bow
11,H,0.9064268246293068,0.5832937061786652,0.5220948457717896,0.5590479671955109,0.8978575691580772,0.8471130579710007,0.8221720457077026,0.7467144727706909,0.7379453778266907,0.7727250009775162,0.7415545880794525,0.7060603201389313,bowler,bowler
12,H,0.8746068179607391,0.6783052980899811,0.5928043127059937,0.6135638058185577,0.8586905896663666,0.8214825838804245,0.8251503556966782,0.7645323574542999,0.7930222302675247,0.7943422943353653,0.7836258411407471,0.750063881278038,brush,brush
13,H,0.8705310821533203,0.5236797630786896,0.4291268587112427,0.43981611728668213,0.8649640083312988,0.8699040114879608,0.8118333965539932,0.7423737347126007,0.7643075883388519,0.7295482754707336,0.7064768671989441,0.6406602263450623,buck,buck
